policy,eps,seed,fold,lambda,n_cal
"HERA-v3 (onset-gated, CRC)",0.1,0,0,2336.25,12
"HERA-v3 (onset-gated, CRC)",0.15,0,0,2336.25,12
"HERA-v3 (onset-gated, CRC)",0.2,0,0,2268.75,12
"HERA-v3 (onset-gated, CRC)",0.25,0,0,1335.0,12
"HERA-v3 (onset-gated, CRC)",0.3,0,0,1335.0,12
"HERA-v3 (onset-gated, CRC)",0.4,0,0,885.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,0,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.4,0,0,3000.0,12
"Always-cloud, CRC + burn-in",0.1,0,0,2336.25,12
"Always-cloud, CRC + burn-in",0.15,0,0,2336.25,12
"Always-cloud, CRC + burn-in",0.2,0,0,2268.75,12
"Always-cloud, CRC + burn-in",0.25,0,0,1683.75,12
"Always-cloud, CRC + burn-in",0.3,0,0,1683.75,12
"Always-cloud, CRC + burn-in",0.4,0,0,885.0,12
"Always-cloud, CRC",0.1,0,0,2336.25,12
"Always-cloud, CRC",0.15,0,0,2336.25,12
"Always-cloud, CRC",0.2,0,0,2268.75,12
"Always-cloud, CRC",0.25,0,0,1335.0,12
"Always-cloud, CRC",0.3,0,0,1335.0,12
"Always-cloud, CRC",0.4,0,0,547.5,12
"Always-edge, CRC",0.1,0,0,2122.5,12
"Always-edge, CRC",0.15,0,0,2122.5,12
"Always-edge, CRC",0.2,0,0,2032.5,12
"Always-edge, CRC",0.25,0,0,1965.0,12
"Always-edge, CRC",0.3,0,0,1965.0,12
"Always-edge, CRC",0.4,0,0,1121.25,12
"Cloud point, fixed thr. H_p",,0,0,0.0,12
"Cloud point, fixed thr. H_c",,0,0,0.0,12
Anomaly threshold,,0,0,0.0,12
"HERA-v3 (onset-gated, CRC)",0.1,0,1,2268.75,13
"HERA-v3 (onset-gated, CRC)",0.15,0,1,1593.75,13
"HERA-v3 (onset-gated, CRC)",0.2,0,1,1593.75,13
"HERA-v3 (onset-gated, CRC)",0.25,0,1,1177.5,13
"HERA-v3 (onset-gated, CRC)",0.3,0,1,1008.75,13
"HERA-v3 (onset-gated, CRC)",0.4,0,1,817.5,13
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,1,3000.0,13
"HERA-v3b (onset gate + burn-in, CRC)",0.4,0,1,3000.0,13
"Always-cloud, CRC + burn-in",0.1,0,1,2358.75,13
"Always-cloud, CRC + burn-in",0.15,0,1,1830.0,13
"Always-cloud, CRC + burn-in",0.2,0,1,1830.0,13
"Always-cloud, CRC + burn-in",0.25,0,1,1593.75,13
"Always-cloud, CRC + burn-in",0.3,0,1,1177.5,13
"Always-cloud, CRC + burn-in",0.4,0,1,817.5,13
"Always-cloud, CRC",0.1,0,1,2223.75,13
"Always-cloud, CRC",0.15,0,1,1593.75,13
"Always-cloud, CRC",0.2,0,1,1593.75,13
"Always-cloud, CRC",0.25,0,1,1177.5,13
"Always-cloud, CRC",0.3,0,1,817.5,13
"Always-cloud, CRC",0.4,0,1,682.5,13
"Always-edge, CRC",0.1,0,1,2100.0,13
"Always-edge, CRC",0.15,0,1,1987.5,13
"Always-edge, CRC",0.2,0,1,1987.5,13
"Always-edge, CRC",0.25,0,1,1852.5,13
"Always-edge, CRC",0.3,0,1,1650.0,13
"Always-edge, CRC",0.4,0,1,1571.25,13
"Cloud point, fixed thr. H_p",,0,1,0.0,13
"Cloud point, fixed thr. H_c",,0,1,0.0,13
Anomaly threshold,,0,1,0.0,13
"HERA-v3 (onset-gated, CRC)",0.1,0,2,2302.5,12
"HERA-v3 (onset-gated, CRC)",0.15,0,2,2302.5,12
"HERA-v3 (onset-gated, CRC)",0.2,0,2,2032.5,12
"HERA-v3 (onset-gated, CRC)",0.25,0,2,1380.0,12
"HERA-v3 (onset-gated, CRC)",0.3,0,2,1380.0,12
"HERA-v3 (onset-gated, CRC)",0.4,0,2,941.25,12
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,2,3000.0,12
"HERA-v3b (onset gate + burn-in, CRC)",0.4,0,2,3000.0,12
"Always-cloud, CRC + burn-in",0.1,0,2,2302.5,12
"Always-cloud, CRC + burn-in",0.15,0,2,2302.5,12
"Always-cloud, CRC + burn-in",0.2,0,2,2032.5,12
"Always-cloud, CRC + burn-in",0.25,0,2,1380.0,12
"Always-cloud, CRC + burn-in",0.3,0,2,1380.0,12
"Always-cloud, CRC + burn-in",0.4,0,2,941.25,12
"Always-cloud, CRC",0.1,0,2,2302.5,12
"Always-cloud, CRC",0.15,0,2,2302.5,12
"Always-cloud, CRC",0.2,0,2,2032.5,12
"Always-cloud, CRC",0.25,0,2,1380.0,12
"Always-cloud, CRC",0.3,0,2,1380.0,12
"Always-cloud, CRC",0.4,0,2,941.25,12
"Always-edge, CRC",0.1,0,2,2010.0,12
"Always-edge, CRC",0.15,0,2,2010.0,12
"Always-edge, CRC",0.2,0,2,1593.75,12
"Always-edge, CRC",0.25,0,2,1593.75,12
"Always-edge, CRC",0.3,0,2,1593.75,12
"Always-edge, CRC",0.4,0,2,401.25,12
"Cloud point, fixed thr. H_p",,0,2,0.0,12
"Cloud point, fixed thr. H_c",,0,2,0.0,12
Anomaly threshold,,0,2,0.0,12
"HERA-v3 (onset-gated, CRC)",0.1,0,3,2370.0,14
"HERA-v3 (onset-gated, CRC)",0.15,0,3,1515.0,14
"HERA-v3 (onset-gated, CRC)",0.2,0,3,1188.75,14
"HERA-v3 (onset-gated, CRC)",0.25,0,3,1188.75,14
"HERA-v3 (onset-gated, CRC)",0.3,0,3,1008.75,14
"HERA-v3 (onset-gated, CRC)",0.4,0,3,693.75,14
"HERA-v3b (onset gate + burn-in, CRC)",0.1,0,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.15,0,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.2,0,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.25,0,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.3,0,3,3000.0,14
"HERA-v3b (onset gate + burn-in, CRC)",0.4,0,3,3000.0,14
"Always-cloud, CRC + burn-in",0.1,0,3,2403.75,14
"Always-cloud, CRC + burn-in",0.15,0,3,1515.0,14
"Always-cloud, CRC + burn-in",0.2,0,3,1188.75,14
"Always-cloud, CRC + burn-in",0.25,0,3,1188.75,14
"Always-cloud, CRC + burn-in",0.3,0,3,693.75,14
"Always-cloud, CRC + burn-in",0.4,0,3,547.5,14
"Always-cloud, CRC",0.1,0,3,2370.0,14
"Always-cloud, CRC",0.15,0,3,1515.0,14
"Always-cloud, CRC",0.2,0,3,1188.75,14
"Always-cloud, CRC",0.25,0,3,1188.75,14
"Always-cloud, CRC",0.3,0,3,693.75,14
"Always-cloud, CRC",0.4,0,3,547.5,14
